01Source,02Language,03GroupType,04GroupSubType,05SourceCategory,06Title,07AccommType,08AccommSubType,09VacationType,10AdvertCode,11URLLink,12PictureURL,13Stars,14LocationDesc,15Country,16Region,17Subregion,18Island,19City,20PriceOld,21PriceFrom,22PriceDesc,23Date1,24Date2,25DateDesc,26DaysNum,27Description,28Activities,29Facilities,30Beach,31BeachDistanceM,32DistanceFromCentreM,33PetsDesc,34InfoDesc
www.generalturist.com,hrvatski,Smještaj,Skijanje,http://www.generalturist.com/hr/Smjestaj/Skijanje.aspx?promjena=1,Hotel Habakuk,Hotel Habakuk,dvokrevetna soba plus,Hotel Habakuk,http://www.generalturist.com/hr/Slovenija/Maribor/Hotel-Habakuk.aspx,http://www.generalturist.com/hr/Slovenija/Maribor/Hotel-Habakuk.aspx?tabId=raspolozivost&idSmjestaj=68647&datumOd=22.2.2011&datumDo=27.2.2011&idUsluga=114509,http://www.generalturist.com/FotoGalerija/Formati/33358_Mala.JPG,,"Slovenija, Maribor",Slovenija,,,,,"4.600,00 kn",,po osobi,22.02.-27.02.,22.02.-27.02.,22.02.-27.02.,,"Traveler Rating Slovenija, Maribor Hotel Habakuk dvokrevetna soba plus Last minute Ski paket 22.02.-27.02. 4.600,00 kn po osobi",Hotel Habakuk,Hotel Habakuk,Hotel Habakuk,Hotel Habakuk,Hotel Habakuk,Hotel Habakuk,Hotel Habakuk
www.generalturist.com,hrvatski,Smještaj,Skijanje,http://www.generalturist.com/hr/Smjestaj/Skijanje.aspx?promjena=1,Hotel i apartmani Bellevue,Hotel i apartmani Bellevue,dvokrevetna soba + 1 dodatni ležaj classic,Hotel i apartmani Bellevue,http://www.generalturist.com/hr/Slovenija/Mariborsko-Pohorje/Hotel-i-apartmani-Bellevue.aspx,http://www.generalturist.com/hr/Slovenija/Mariborsko-Pohorje/Hotel-i-apartmani-Bellevue.aspx?tabId=raspolozivost&idSmjestaj=87193&datumOd=3.3.2011&datumDo=6.3.2011&idUsluga=110800,http://www.generalturist.com/FotoGalerija/Formati/33382_Mala.JPG,,"Slovenija, Mariborsko Pohorje",Slovenija,,,,,"1.490,00 kn",,od,03.03.-06.03.,03.03.-06.03.,03.03.-06.03.,,"Traveler Rating Slovenija, Mariborsko Pohorje Hotel i apartmani Bellevue dvokrevetna soba + 1 dodatni ležaj classic Zatvaranje sezone ski ili wellness paket 03.03.-06.03. | 10.03.-13.03. | 17.03.-20.03. od 1.490,00 kn po osobi",Hotel i apartmani Bellevue,Hotel i apartmani Bellevue,Hotel i apartmani Bellevue,Hotel i apartmani Bellevue,Hotel i apartmani Bellevue,Hotel i apartmani Bellevue,Hotel i apartmani Bellevue
www.generalturist.com,hrvatski,Smještaj,Skijanje,http://www.generalturist.com/hr/Smjestaj/Skijanje.aspx?promjena=1,Hotel Habakuk,Hotel Habakuk,"dvokrevetna soba, standard",Hotel Habakuk,http://www.generalturist.com/hr/Slovenija/Maribor/Hotel-Habakuk.aspx,http://www.generalturist.com/hr/Slovenija/Maribor/Hotel-Habakuk.aspx?tabId=raspolozivost&idSmjestaj=63199&datumOd=18.2.2011&datumDo=20.2.2011&idUsluga=114512,http://www.generalturist.com/FotoGalerija/Formati/33358_Mala.JPG,,"Slovenija, Maribor",Slovenija,,,,,"1.540,00 kn",,od,18.02.-20.02.,18.02.-20.02.,18.02.-20.02.,,"Traveler Rating Slovenija, Maribor Hotel Habakuk dvokrevetna soba, standard Last minute Ski paket 18.02.-20.02. | 25.02.-27.02. od 1.540,00 kn po osobi",Hotel Habakuk,Hotel Habakuk,Hotel Habakuk,Hotel Habakuk,Hotel Habakuk,Hotel Habakuk,Hotel Habakuk
www.generalturist.com,hrvatski,Smještaj,Skijanje,http://www.generalturist.com/hr/Smjestaj/Skijanje.aspx?promjena=1,Resch,Resch,dvokrevetna soba,Resch,http://www.generalturist.com/ORS/Offer.aspx,http://www.generalturist.com/ORS/Offer.aspx?epc=2&tdc=4&vnd=12.3.2011&bsd=16.3.2011&toc=DER&gid=68281&request=1&tabId=raspolozivost,http://www.ors.si/giata-pics-ibe/68281/thumb/68281.jpg,,"Austrija, Kitzbühel",Austrija,,,,,"2.100,00 kn",,po osobi,12.03-16.03,12.03-16.03,12.03-16.03,,"Austrija, Kitzbühel Resch dvokrevetna soba noćenje s doručkom 12.03-16.03 2.100,00 kn po osobi",Resch,Resch,Resch,Resch,Resch,Resch,Resch
www.generalturist.com,hrvatski,Smještaj,Skijanje,http://www.generalturist.com/hr/Smjestaj/Skijanje.aspx?promjena=1,Grandhotel Lienz,Grandhotel Lienz,junior suita,Grandhotel Lienz,http://www.generalturist.com/ORS/Offer.aspx,http://www.generalturist.com/ORS/Offer.aspx?epc=2&tdc=4&vnd=8.3.2011&bsd=12.3.2011&toc=DER&gid=143789&request=1&tabId=raspolozivost,http://www.ors.si/giata-pics-ibe/143789/thumb/143789.jpg,,"Austrija, Lienz",Austrija,,,,,"2.407,50 kn",,po osobi,08.03-12.03,08.03-12.03,08.03-12.03,,"Austrija, Lienz Grandhotel Lienz junior suita noćenje s doručkom 08.03-12.03 2.407,50 kn po osobi",Grandhotel Lienz,Grandhotel Lienz,Grandhotel Lienz,Grandhotel Lienz,Grandhotel Lienz,Grandhotel Lienz,Grandhotel Lienz
www.generalturist.com,hrvatski,Smještaj,Skijanje,http://www.generalturist.com/hr/Smjestaj/Skijanje.aspx?promjena=1,Apartmanska kuća Ski residence,Apartmanska kuća Ski residence,apartman za 2 + 2 dodatna ležaja,Apartmanska kuća Ski residence,http://www.generalturist.com/hr/Italija/Falcade/Apartmanska-kuca-Ski-residence.aspx,http://www.generalturist.com/hr/Italija/Falcade/Apartmanska-kuca-Ski-residence.aspx?tabId=raspolozivost&idSmjestaj=86134&datumOd=26.2.2011&datumDo=5.3.2011&idUsluga=75074,http://www.generalturist.com/FotoGalerija/Formati/30487_Mala.JPG,,"Italija, Falcade",Italija,,,,,"4.600,00 kn","3.910,00 kn",po smještajnoj jedinici,26.02.-05.03.,26.02.-05.03.,26.02.-05.03.,,"Italija, Falcade Apartmanska kuća Ski residence apartman za 2 + 2 dodatna ležaja najam 26.02.-05.03. 4.600,00 kn 3.910,00 kn po smještajnoj jedinici Last minute",Apartmanska kuća Ski residence,Apartmanska kuća Ski residence,Apartmanska kuća Ski residence,Apartmanska kuća Ski residence,Apartmanska kuća Ski residence,Apartmanska kuća Ski residence,Apartmanska kuća Ski residence
www.generalturist.com,hrvatski,Smještaj,Skijanje,http://www.generalturist.com/hr/Smjestaj/Skijanje.aspx?promjena=1,Hotel Cerkno,Hotel Cerkno,dvokrevetna soba obnovljena,Hotel Cerkno,http://www.generalturist.com/hr/Slovenija/Cerkno/Hotel-Cerkno.aspx,http://www.generalturist.com/hr/Slovenija/Cerkno/Hotel-Cerkno.aspx?tabId=raspolozivost&idSmjestaj=88530&datumOd=18.3.2011&datumDo=20.3.2011&idUsluga=53348,http://www.generalturist.com/FotoGalerija/Formati/38817_Mala.JPG,,"Slovenija, Cerkno",Slovenija,,,,,"900,00 kn",,po osobi,18.03.-20.03.,18.03.-20.03.,18.03.-20.03.,,"Traveler Rating Slovenija, Cerkno Hotel Cerkno dvokrevetna soba obnovljena zatvaranje ski sezone paket 18.03.-20.03. 900,00 kn po osobi",Hotel Cerkno,Hotel Cerkno,Hotel Cerkno,Hotel Cerkno,Hotel Cerkno,Hotel Cerkno,Hotel Cerkno
www.generalturist.com,hrvatski,Smještaj,Skijanje,http://www.generalturist.com/hr/Smjestaj/Skijanje.aspx?promjena=1,Hotel Termag,Hotel Termag,dvokrevetna soba + 1 dodatni ležaj,Hotel Termag,http://www.generalturist.com/hr/Bosna-i-Hercegovina/Jahorina/Hotel-Termag.aspx,http://www.generalturist.com/hr/Bosna-i-Hercegovina/Jahorina/Hotel-Termag.aspx?tabId=raspolozivost&idSmjestaj=74692&datumOd=26.2.2011&datumDo=5.3.2011&idUsluga=73298,http://www.generalturist.com/FotoGalerija/Formati/20750_Mala_Termag.JPG,,"Bosna i Hercegovina, Jahorina",Bosna i Hercegovina,i Hercegovina,i Hercegovina,,,"3.660,00 kn",,po osobi,26.02.-05.03.,26.02.-05.03.,26.02.-05.03.,,"Traveler Rating Bosna i Hercegovina, Jahorina Hotel Termag dvokrevetna soba + 1 dodatni ležaj polupansion 26.02.-05.03. 3.660,00 kn po osobi",Hotel Termag,Hotel Termag,Hotel Termag,Hotel Termag,Hotel Termag,Hotel Termag,Hotel Termag
www.generalturist.com,hrvatski,Smještaj,Skijanje,http://www.generalturist.com/hr/Smjestaj/Skijanje.aspx?promjena=1,Hotel Pahuljica,Hotel Pahuljica,dvokrevetna soba + 1 dodatni ležaj,Hotel Pahuljica,http://www.generalturist.com/hr/Bosna-i-Hercegovina/Vlasic/Hotel-Pahuljica.aspx,http://www.generalturist.com/hr/Bosna-i-Hercegovina/Vlasic/Hotel-Pahuljica.aspx?tabId=raspolozivost&idSmjestaj=79985&datumOd=5.3.2011&datumDo=12.3.2011&idUsluga=35821,http://www.generalturist.com/FotoGalerija/Formati/20855_Mala_Hotel-Pahuljica.JPG,,"Bosna i Hercegovina, Vlašić",Bosna i Hercegovina,i Hercegovina,i Hercegovina,,,"2.070,00 kn",,po osobi,05.03.-12.03.,05.03.-12.03.,05.03.-12.03.,,"Traveler Rating Bosna i Hercegovina, Vlašić Hotel Pahuljica dvokrevetna soba + 1 dodatni ležaj polupansion 05.03.-12.03. 2.070,00 kn po osobi",Hotel Pahuljica,Hotel Pahuljica,Hotel Pahuljica,Hotel Pahuljica,Hotel Pahuljica,Hotel Pahuljica,Hotel Pahuljica
www.generalturist.com,hrvatski,Smještaj,Skijanje,http://www.generalturist.com/hr/Smjestaj/Skijanje.aspx?promjena=1,Apartmanska kuća Bio-Bauernhof Knaller,Apartmanska kuća Bio-Bauernhof Knaller,apartman za 2 + 2 dodatna ležaja Diana,Apartmanska kuća Bio-Bauernhof Knaller,http://www.generalturist.com/hr/Austrija/Nassfeld/Reisach/Nassfeld/Apartmanska-kuca-Bio-Bauernhof-Knaller.aspx,http://www.generalturist.com/hr/Austrija/Nassfeld/Reisach/Nassfeld/Apartmanska-kuca-Bio-Bauernhof-Knaller.aspx?tabId=raspolozivost&idSmjestaj=62546&datumOd=26.2.2011&datumDo=5.3.2011&idUsluga=21842,http://www.generalturist.com/FotoGalerija/Formati/16864_Mala_Apartmani-Knaller.JPG,,"Austrija, Nassfeld/Reisach, Nassfeld",Austrija,Nassfeld/Reisach,Nassfeld/Reisach,,,"4.200,00 kn",,,26.02.-05.03.,26.02.-05.03.,26.02.-05.03.,,"Traveler Rating Austrija, Nassfeld/Reisach, Nassfeld Apartmanska kuća Bio-Bauernhof Knaller apartman za 2 + 2 dodatna ležaja Diana najam za 4 osobe 26.02.-05.03. 4.200,00 kn",Apartmanska kuća Bio-Bauernhof Knaller,Apartmanska kuća Bio-Bauernhof Knaller,Apartmanska kuća Bio-Bauernhof Knaller,Apartmanska kuća Bio-Bauernhof Knaller,Apartmanska kuća Bio-Bauernhof Knaller,Apartmanska kuća Bio-Bauernhof Knaller,Apartmanska kuća Bio-Bauernhof Knaller
